STA,LAT,LON,ELEV,CHN,DIST,BAZ,ISCPHASE,REPPHASE,DATE,TIME,RES,TDEF,AUTHOR,DATE,TIME,LATH,LONH,DEPTH,AUTHOR,TYPE,MAG,MS,8.2
KYO,35.0117,135.735,42,???,42.57,66.6,S,S,15-01-1934,08:57:39,-4.1,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
YAG,34.5167,135.8,63,???,42.65,67.3,P,P,15-01-1934,08:51:18,-3.6,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
YAG,34.5167,135.8,63,???,42.65,67.3,S,S,15-01-1934,08:57:40,-4.3,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
SHJ,33.4483,135.763,75,???,42.7,68.9,P,P,15-01-1934,08:51:17,-5,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
SHJ,33.4483,135.763,75,???,42.7,68.9,S,S,15-01-1934,08:57:47,1.9,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
HIK,35.2733,136.247,87,???,42.98,66.2,P,P,15-01-1934,08:51:21,-3.2,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
HIK,35.2733,136.247,87,???,42.98,66.2,S,S,15-01-1934,08:57:44,-5.1,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
KAM,34.8567,136.465,71,???,43.18,66.8,P,P,15-01-1934,08:51:22,-3.9,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
KAM,34.8567,136.465,71,???,43.18,66.8,S,S,15-01-1934,08:57:50,-2.1,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
GIF,35.3983,136.765,13,???,43.39,66,S,S,15-01-1934,08:57:51,-4.2,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
WAJ,37.39,136.898,7,???,43.42,63.1,S,S,15-01-1934,08:57:47,-8.6,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
NAG,35.165,136.968,56,???,43.57,66.3,P,P,15-01-1934,08:51:24,-5.1,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
NAG,35.165,136.968,56,???,43.57,66.3,S,S,15-01-1934,08:58:01,3.2,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
KSA,33.8233,35.89,920,???,43.93,291.8,P,P,15-01-1934,08:51:33,0.9,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
KSA,33.8233,35.89,920,???,43.93,291.8,S,S,15-01-1934,08:58:03,-0.4,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
HMM,34.7067,137.7233,33,???,44.22,66.9,P,P,15-01-1934,08:51:31,-3.3,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
HMM,34.7067,137.7233,33,???,44.22,66.9,S,S,15-01-1934,08:58:12,4.7,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
NGN,36.66,138.195,419,???,44.49,64.1,P,P,15-01-1934,08:51:33,-3.4,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
NGN,36.66,138.195,419,???,44.49,64.1,S,S,15-01-1934,08:58:18,6.8,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
OIW,36.34,138.552,1001,???,44.79,64.5,P,P,15-01-1934,08:51:34,-5,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
OIW,36.34,138.552,1001,???,44.79,64.5,S,S,15-01-1934,08:58:10,-5.8,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
FUN,35.4983,138.763,860,???,45.01,65.7,S,S,15-01-1934,08:58:12,-7,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
MAE,36.4017,139.065,112,???,45.2,64.4,P,P,15-01-1934,08:51:42,-0.1,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
MAE,36.4017,139.065,112,???,45.2,64.4,S,S,15-01-1934,08:58:18,-3.5,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
SUS,34.6667,138.983,3,???,45.26,66.8,P,P,15-01-1934,08:51:48,5.4,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
YAL,44.4875,34.1547,23,???,45.26,307,P,P,15-01-1934,08:51:43,0.6,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
SIM,44.949,34.116,275,???,45.33,307.6,P,P,15-01-1934,08:51:40,-3,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
SIM,44.949,34.116,275,???,45.33,307.6,S,S,15-01-1934,08:58:22,-1.2,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
KMG,36.1466,139.3833,31,???,45.47,64.7,P,P,15-01-1934,08:51:43,-1.2,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
SEV,44.545,33.668,42,???,45.62,307,P,P,15-01-1934,08:51:45,-0.2,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
SEV,44.545,33.668,42,???,45.62,307,S,S,15-01-1934,08:58:28,0.8,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
TOK,35.6867,139.7583,-285,???,45.81,65.3,P,P,15-01-1934,08:51:48,1.1,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
TOK,35.6867,139.7583,-285,???,45.81,65.3,S,S,15-01-1934,08:58:33,2.8,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
HNG,35.7111,139.766,18,???,45.81,65.3,S,S,15-01-1934,08:58:30,-0.3,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
MTJ,36.2108,140.11,286,???,46.05,64.6,S,S,15-01-1934,08:58:27,-6.9,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
KAK,36.2317,140.193,27,???,46.12,64.5,S,S,15-01-1934,08:58:29,-5.7,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
MIT,36.3783,140.472,29,???,46.33,64.3,S,S,15-01-1934,08:58:32,-5.8,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
AOM,40.8167,140.7833,5,???,46.41,58.2,P,P,15-01-1934,08:51:54,2.4,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
SEN,38.26,140.9,38,???,46.56,61.7,P,P,15-01-1934,08:51:48,-4.8,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
SEN,38.26,140.9,38,???,46.56,61.7,S,S,15-01-1934,08:58:43,1.9,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
CHO,35.725,140.8433,27,???,46.69,65.2,P,P,15-01-1934,08:51:52,-1.8,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
