STA,LAT,LON,ELEV,DIST,BAZ,ISCPHASE,REPPHASE,DATE,TIME,RES,TDEF,AUTHOR,DATE,TIME,LATH,LONH,DEPTH,AUTHOR,TYPE,MAG
AKI,39.7183,140.1017,10,37.57,60.8,P,P,15-08-1950,14:16:43,-5.5,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
MIT,36.3783,140.472,29,37.77,66.3,P,P,15-08-1950,14:16:46,-4.2,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
MIT,36.3783,140.472,29,37.77,66.3,S,S,15-08-1950,14:22:32,-8.4,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
FKS,37.7567,140.475,69,37.78,64.1,P,P,15-08-1950,14:16:46,-4.2,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
ONA,36.945,140.907,5,38.12,65.4,P,P,15-08-1950,14:16:49,-4.1,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
SEN,38.26,140.9,38,38.13,63.2,P,P,15-08-1950,14:16:49,-4.2,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
SEN,38.26,140.9,38,38.13,63.2,PnPn,PP,15-08-1950,14:18:28,6.2,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
MOR,42.1033,140.5717,19,38.15,57,P,P,15-08-1950,14:16:50,-3.3,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
AOM,40.8167,140.7833,5,38.18,59.1,P,P,15-08-1950,14:16:51,-2.5,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
AOM,40.8167,140.7833,5,38.18,59.1,PnPn,PP,15-08-1950,14:18:27,4.6,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
MIZ,39.1343,141.136,63,38.34,61.9,P,P,15-08-1950,14:16:52,-3,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
MIZ,39.1343,141.136,63,38.34,61.9,S,S,15-08-1950,14:22:50,1.1,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
MRK,39.6967,141.1667,154,38.39,60.9,P,P,15-08-1950,14:16:54,-1.4,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
