BKR    29.28 298.7 P        08:08:05.0     1.7                           T__                        _i            17619297
BKR    29.28 298.7 PM       08:08:05.0                                   ___         15000.0  4.00  __            17619299
BKR    29.28 298.7 PM       08:08:10.0                                   ___          2000.0  2.00  __            17619301
BKR    29.28 298.7 S        08:13:01.0     4.8                           T__                        _i            17619300
BKR    29.28 298.7 AMS      08:13:01.0                                   ___         67000.0 16.00  __ MS     6.4 17619303
PYA    29.97 303.2 P        08:08:10.3     1.2                           T__                        di            23698942
PEK    31.19  65.0 P        08:08:22.0     2.1                           T__                        __            23698943
PEK    31.19  65.0 PcP      08:11:09.0    -5.6                           T__                        __            23698944
PEK    31.19  65.0 S        08:13:26.0     0.4                           T__                        __            23698945
SOC    32.29 301.6 P        08:08:29.0    -0.5                           T__                        d_            23698946
SOC    32.29 301.6 sP       08:08:38.0     0.7                           T__                        _i            23698947
SNG    32.43 135.8 P        08:08:31.0     0.0                           T__                        d_            23698948
SNG    32.43 135.8 S        08:13:00.0   -45.3                           ___                        __            23698949
HKC    33.11  98.5 P        08:08:38.0     1.0                           T__                        ce            23698950
HKC    33.11  98.5          08:09:32.0                                   ___                        _i            23698951
HKC    33.11  98.5 S        08:13:58.0     2.0                           T__                        __            23698952
KSA    35.54 284.2 P        08:09:01.0     3.0                           T__                        __            23698953
KSA    35.54 284.2 PP       08:09:57.0   -21.6                           ___                        d_            23698954
KSA    35.54 284.2 S        08:13:53.0   -40.4                           ___                        __            23698955
KSA    35.54 284.2 ScP      08:15:33.0    20.3                           ___                        __            23698956
SIM    36.43 303.3 P        08:09:07.0     1.6                           T__                        d_            23698957
SIM    36.43 303.3 S        08:14:46.0    -0.7                           T__                        _i            23698958
SIM    36.43 303.3 P        08:09:08.0     2.6                           T__                        _i            17619304
SIM    36.43 303.3 PM       08:09:10.0                                   ___          2500.0  7.00  __            17619306
SIM    36.43 303.3 PM       08:09:10.0                                   ___          8100.0  7.00  __            17619307
SIM    36.43 303.3 PM       08:09:10.0                                   ___         14000.0  7.00  __            17619308
SIM    36.43 303.3 PM       08:09:14.0                                   ___         15000.0 12.00  __            17619310
SIM    36.43 303.3 S        08:14:46.0    -0.7                           T__                        _i            17619309
SIM    36.43 303.3          08:15:00                                     ___         26000.0  8.00  __            17619312
SIM    36.43 303.3 M        08:28:42.0                                   ___        136000.0 17.00  __ MS     6.8 17619314
SIM    36.43 303.3 M        08:28:42.0                                   ___        210000.0 17.00  __ MS     7.0 17619315
SIM    36.43 303.3 M        08:28:42.0                                   ___        225000.0 17.00  __ MS     7.0 17619316
TUP    36.60  40.5 P        08:09:08.0     1.2                           T__                        __            23698959
MOS    36.75 321.8 P        08:09:07.0    -1.0                           T__                        de            23698960
MOS    36.75 321.8 S        08:14:48.0    -3.3                           T__                        _e            23698961
MOS    36.75 321.8 P        08:09:11.0     3.0                           T__                        _i            17619317
MOS    36.75 321.8 PM       08:09:12.0                                   ___           960.0  1.50  __            17619319
MOS    36.75 321.8 PM       08:09:13.0                                   ___          3900.0  6.00  __            17619326
MOS    36.75 321.8 PM       08:09:13.0                                   ___         12000.0  6.00  __            17619327
MOS    36.75 321.8 PM       08:09:13.0                                   ___         16000.0  6.00  __            17619328
MOS    36.75 321.8 PM       08:09:15.0                                   ___          4200.0  5.00  __            17619322
MOS    36.75 321.8 PM       08:09:15.0                                   ___         12000.0  5.00  __            17619323
MOS    36.75 321.8 PM       08:09:15.0                                   ___         14000.0  5.00  __            17619324
MOS    36.75 321.8 S        08:14:48.0    -3.3                           T__                        _e            17619325
MOS    36.75 321.8 AMS      08:15:00                                     ___         25000.0 10.00  __            17619333
MOS    36.75 321.8 AMS      08:15:00                                     ___         24000.0 10.00  __            17619334
MOS    36.75 321.8          08:15:04.0                                   ___         22000.0  9.00  __            17619330
MOS    36.75 321.8          08:15:04.0                                   ___         22000.0  9.00  __            17619331
MOS    36.75 321.8 M        08:24:30.0                                   ___         90000.0 14.00  __            17619338
MOS    36.75 321.8 M        08:24:30.0                                   ___        143000.0 14.00  __            17619339
MOS    36.75 321.8 M        08:24:30.0                                   ___         88000.0 14.00  __            17619340
MOS    36.75 321.8 M        08:25:24.0                                   ___        143000.0 12.00  __            17619336
MOS    36.75 321.8 M        08:25:30.0                                   ___        181000.0 21.00  __ MS     6.8 17619342
MOS    36.75 321.8 M        08:25:30.0                                   ___        240000.0 21.00  __ MS     7.0 17619343
MOS    36.75 321.8 M        08:25:30.0                                   ___        280000.0 21.00  __ MS     7.0 17619344
OBN    37.09 320.5 P        08:09:12.0     1.2                           T__                        d_            23698962
OBN    37.09 320.5 S        08:14:54.0    -2.4                           T__                        _i            23698963
OBN    37.09 320.5 P        08:09:11.0     0.2                           T__                        __            17619345
OBN    37.09 320.5 PM       08:09:18.0                                   ___          4600.0  5.50  __            17619347
OBN    37.09 320.5 PM       08:09:18.0                                   ___         11000.0  5.50  __            17619348
OBN    37.09 320.5 PM       08:09:18.0                                   ___         13000.0  5.50  __            17619349
OBN    37.09 320.5 PM       08:09:18.0                                   ___         11000.0  9.00  __            17619351
OBN    37.09 320.5 PM       08:09:18.0                                   ___         18000.0  9.00  __            17619352
OBN    37.09 320.5 PM       08:09:20.0                                   ___         18000.0  8.50  __            17619354
OBN    37.09 320.5 PM       08:09:25.0                                   ___          4100.0  1.90  __            17619356
OBN    37.09 320.5 S        08:14:54.0    -2.4                           T__                        _i            17619355
OBN    37.09 320.5          08:14:54.0                                   ___         22000.0  9.00  __            17619358
OBN    37.09 320.5          08:14:54.0                                   ___         37000.0  9.00  __            17619359
OBN    37.09 320.5 M        08:25:48.0                                   ___        187000.0 12.00  __ MS     7.1 17619361
OBN    37.09 320.5 M        08:25:48.0                                   ___        147000.0 12.00  __ MS     7.0 17619362
MGN    37.76 296.5 P        08:09:17.2     0.4                           T__                        _i            23698964
MGN    37.76 296.5          08:09:21.3                                   ___                        _i            23698965
TCU    37.86  91.5 P        08:09:17.8     0.0                           T__                        __            23698966
TCU    37.86  91.5 S        08:15:13.3     4.5                           T__                        __            23698967
ANP    38.19  89.5 P        08:09:23.5     2.8                           T__                        __            23698968
ANP    38.19  89.5 S        08:15:17.0     2.9                           T__                        __            23698969
HWA    38.71  91.2 P        08:09:28.5     3.6                           T__                        __            23698970
HWA    38.71  91.2          08:10:34.9                                   ___                        _i            23698971
HWA    38.71  91.2 S        08:15:27.0     5.3                           T__                        _i            23698972
