STA,LAT,LON,ELEV,DIST,BAZ,ISCPHASE,REPPHASE,DATE,TIME,RES,TDEF,AUTHOR,DATE,TIME,LATH,LONH,DEPTH,AUTHOR,TYPE,MAG
ISK,41.0656,29.0592,132,40.11,296.9,P,P,19-01-1975,08:09:36,-0.8,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
IST,41.0456,28.9958,50,40.16,296.9,P,P,19-01-1975,08:09:36,-0.9,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
KIS,46.998,28.818,185,40.25,306.1,P,P,19-01-1975,08:09:38,0.5,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
KIS,46.998,28.818,185,40.25,306.1,S,S,19-01-1975,08:15:49,4.6,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
DRB,39.5811,28.6374,620,40.56,294.7,P,P,19-01-1975,08:09:38,-2.2,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
DMK,41.8216,27.7572,315,41.04,298.2,P,P,19-01-1975,08:09:43,-1.3,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
EDC,40.3468,27.8634,270,41.08,296,P,P,19-01-1975,08:09:44,-0.3,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
IAS,47.1931,27.553,195,41.12,306.4,P,P,19-01-1975,08:09:48,3.3,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
YER,37.1347,28.2828,730,41.14,291.1,P,P,19-01-1975,08:09:43,-2.4,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
YER,37.1347,28.2828,730,41.14,291.1,pP,pP,19-01-1975,08:09:47,-4.3,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
YER,37.1347,28.2828,730,41.14,291.1,S,S,19-01-1975,08:15:51,-7.1,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
BAG,16.4108,120.58,1507,41.21,102.4,P,P,19-01-1975,08:09:44,-2,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
BAC,46.5669,26.9124,169,41.55,305.4,P,P,19-01-1975,08:09:48,-0.2,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
MNK,54.5021,27.8833,196,41.76,317.4,P,P,19-01-1975,08:09:50,0.1,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
MNK,54.5021,27.8833,196,41.76,317.4,S,S,19-01-1975,08:16:07,0.3,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
PUL,59.7728,30.3222,88.5,41.84,325.6,P,P,19-01-1975,08:09:51,0.6,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
PUL,59.7728,30.3222,88.5,41.84,325.6,sP,sP,19-01-1975,08:10:03,4.7,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
PUL,59.7728,30.3222,88.5,41.84,325.6,S,S,19-01-1975,08:16:08,0.3,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
PUL,59.7728,30.3222,88.5,41.84,325.6,P,P,19-01-1975,08:09:51,0.6,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
PUL,59.7728,30.3222,88.5,41.84,325.6,S,S,19-01-1975,08:16:08,0.3,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
BUC,44.4136,26.0967,82,42.13,302.2,P,P,19-01-1975,08:09:51,-2,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
MLR,45.4909,25.945,1360,42.22,303.8,P,P,19-01-1975,08:09:53,-0.9,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
MAN,14.66,121.078,70,42.52,104.3,P,P,19-01-1975,08:09:58,1.1,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
QCP,14.637,121.077,58,42.53,104.3,P,P,19-01-1975,08:09:58,1.4,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
DIM,42.0457,25.5778,144,42.68,298.7,P,P,19-01-1975,08:09:59,1,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
KDZ,41.6302,25.3396,335,42.8,298.2,P,P,19-01-1975,08:10:02,2.9,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
CMP,45.2683,25.0383,598,42.86,303.5,P,P,19-01-1975,08:10:01,2,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
VLA,43.1196,131.885,61,42.93,59.7,P,P,19-01-1975,08:09:59,-0.5,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
VLA,43.1196,131.885,61,42.93,59.7,S,S,19-01-1975,08:16:20,-4.1,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
VLA,43.1196,131.885,61,42.93,59.7,P,P,19-01-1975,08:09:59,-0.5,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
VLA,43.1196,131.885,61,42.93,59.7,S,S,19-01-1975,08:16:20,-4.1,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
NGS,32.7317,129.87,24,42.96,75.1,P,P,19-01-1975,08:10:02,2.3,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
NGS,32.7317,129.87,24,42.96,75.1,S,S,19-01-1975,08:16:24,-1.2,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
NAH,26.2167,127.6833,11,43.04,85,P,P,19-01-1975,08:10:02,1.4,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
AAE,9.0292,38.7656,2442,43.44,246.6,P,P,19-01-1975,08:10:06,1.7,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
LVV,49.819,24.031,320,43.58,310.1,P,P,19-01-1975,08:10:05,0.3,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
LVV,49.819,24.031,320,43.58,310.1,S,S,19-01-1975,08:16:31,-2.5,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
LVV,49.819,24.031,320,43.58,310.1,P,P,19-01-1975,08:10:05,0.3,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
